phase,problem_key,problem,encoding,run,seed,final_best_fitness,best_solution,stopped_generation,function_evaluations,elite_size,mutation_probability
main,ackley_n2,"Ackley function, n=2",real,20,16020,0.002761762848454641,"[-0.00093999367, 0.00022954881]",375,37600,1,0.5
main,rastrigin_n5,"Rastrigin function, n=5",binary,1,20001,10.841635883565871,"[-3.051758e-07, -1.9199998, -1.9199998, -3.051758e-07, 0.99500036]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,2,20002,6.159110027759624,"[3.051758e-07, 0.95999975, -3.051758e-07, 3.051758e-07, -1.9199998]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,3,20003,11.08244826833161,"[-3.051758e-07, -3.051758e-07, 1.9199998, -0.95999975, 1.9199998]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,4,20004,0.9949590585747998,"[-0.9949613, -3.051758e-07, 3.051758e-07, 3.051758e-07, 3.051758e-07]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,5,20005,4.702274763707479,"[0.95999975, -0.95999975, 0.99500036, -0.95999975, -3.051758e-07]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,6,20006,2.7873167934246013,"[0.95999975, -3.051758e-07, -0.040000308, 3.051758e-07, -0.95999975]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,7,20007,6.159110027759603,"[0.95999975, 3.051758e-07, -3.051758e-07, 1.9199998, 3.051758e-07]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,8,20008,2.2357725167564126,"[3.051758e-07, 0.95999975, 3.051758e-07, -3.051758e-07, 1.0000004]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,9,20009,2.2357725167564126,"[-1.0000004, -0.95999975, 3.051758e-07, 3.051758e-07, -3.051758e-07]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,10,20010,9.237766107617063e-11,"[3.051758e-07, -3.051758e-07, 3.051758e-07, 3.051758e-07, 3.051758e-07]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,11,20011,11.082448268331632,"[-3.051758e-07, 3.051758e-07, -0.95999975, 1.9199998, -1.9199998]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,12,20012,4.9233382406644,"[-3.051758e-07, -3.051758e-07, -1.9199998, 3.051758e-07, -3.051758e-07]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,13,20013,9.237766107617063e-11,"[-3.051758e-07, 3.051758e-07, 3.051758e-07, 3.051758e-07, 3.051758e-07]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,14,20014,2.471543574282812,"[-3.051758e-07, -3.051758e-07, 3.051758e-07, -0.95999975, -0.95999975]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,15,20015,4.923338240664407,"[-3.051758e-07, 3.051758e-07, -3.051758e-07, 3.051758e-07, -1.9199998]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,16,20016,2.471543574282812,"[-3.051758e-07, 3.051758e-07, 0.95999975, 3.051758e-07, 0.95999975]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,17,20017,11.082448268331639,"[-3.051758e-07, -1.9199998, -1.9199998, 0.95999975, -3.051758e-07]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,18,20018,6.159110027759617,"[0.95999975, -1.9199998, 3.051758e-07, -3.051758e-07, 3.051758e-07]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,19,20019,9.237766107617063e-11,"[-3.051758e-07, 3.051758e-07, -3.051758e-07, 3.051758e-07, 3.051758e-07]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",binary,20,20020,2.2357725167564126,"[-0.95999975, 3.051758e-07, -3.051758e-07, -3.051758e-07, 1.0000004]",450,45100,1,0.008333333333333333
main,rastrigin_n5,"Rastrigin function, n=5",real,1,21001,0.005750772617645339,"[-8.4462913e-05, 0.0016462605, -0.0020643531, 0.002184795, 0.0041516075]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,2,21002,0.001653898509871965,"[6.0983039e-05, 0.00019180733, -0.0014230518, 0.0014658976, 0.0020303097]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,3,21003,0.001070355676432655,"[-0.0006756728, 0.00046449741, 0.0020324287, -1.006406e-05, -0.00076944888]",450,45100,1,0.2
main,rastrigin_n5,"Rastrigin function, n=5",real,4,21004,0.0019475938455286723,"[0.0010594304, -0.00016761905, 0.00023761678, 0.0028618749, 0.00064794928]",450,45100,1,0.2
